cohort_month,months_since,cohort_size,active_customers
2024-01,0,29403,28084
2024-01,1,29403,12035
2024-01,2,29403,10125
2024-01,3,29403,7948
2024-01,4,29403,6044
2024-01,5,29403,4761
2024-01,6,29403,4543
2024-01,7,29403,3452
2024-01,8,29403,3001
2024-01,9,29403,2792
2024-01,10,29403,2609
2024-01,11,29403,2357
2024-01,12,29403,2371
2024-01,13,29403,2326
2024-01,14,29403,2345
2024-01,15,29403,2277
2024-01,16,29403,2295
2024-01,17,29403,2208
2024-01,18,29403,2265
2024-01,19,29403,2198
2024-01,20,29403,2339
2024-01,21,29403,2251
2024-01,22,29403,2068
2024-01,23,29403,2125
2024-02,0,28341,28341
2024-02,1,28341,10759
2024-02,2,28341,9142
2024-02,3,28341,8201
2024-02,4,28341,5397
2024-02,5,28341,4801
2024-02,6,28341,4452
2024-02,7,28341,3312
2024-02,8,28341,2895
2024-02,9,28341,2956
2024-02,10,28341,2623
2024-02,11,28341,2556
2024-02,12,28341,2402
2024-02,13,28341,2110
2024-02,14,28341,2322
2024-02,15,28341,2281
2024-02,16,28341,2294
2024-02,17,28341,2122
2024-02,18,28341,2052
2024-02,19,28341,2119
2024-02,20,28341,2228
2024-02,21,28341,2261
2024-02,22,28341,2198
2024-03,0,33036,33036
2024-03,1,33036,13428
2024-03,2,33036,10685
2024-03,3,33036,9854
2024-03,4,33036,6656
2024-03,5,33036,5709
2024-03,6,33036,5215
2024-03,7,33036,3836
2024-03,8,33036,3609
2024-03,9,33036,3139
2024-03,10,33036,2724
2024-03,11,33036,2896
2024-03,12,33036,2893
2024-03,13,33036,2755
2024-03,14,33036,2610
2024-03,15,33036,2554
2024-03,16,33036,2745
2024-03,17,33036,2598
2024-03,18,33036,2457
2024-03,19,33036,2524
2024-03,20,33036,2428
2024-03,21,33036,2532
2024-04,0,36788,36788
2024-04,1,36788,14259
2024-04,2,36788,11378
2024-04,3,36788,10148
2024-04,4,36788,6487
2024-04,5,36788,6140
2024-04,6,36788,6098
2024-04,7,36788,4768
2024-04,8,36788,3736
2024-04,9,36788,3617
2024-04,10,36788,3664
2024-04,11,36788,3036
2024-04,12,36788,2995
2024-04,13,36788,3088
2024-04,14,36788,3062
2024-04,15,36788,2770
2024-04,16,36788,2561
2024-04,17,36788,2809
2024-04,18,36788,2791
2024-04,19,36788,2784
2024-04,20,36788,2856
2024-05,0,29821,29821
2024-05,1,29821,11464
2024-05,2,29821,8780
2024-05,3,29821,8285
2024-05,4,29821,6282
2024-05,5,29821,5056
2024-05,6,29821,5011
2024-05,7,29821,3592
2024-05,8,29821,3108
2024-05,9,29821,2738
2024-05,10,29821,2591
2024-05,11,29821,2527
2024-05,12,29821,2447
2024-05,13,29821,2430
2024-05,14,29821,2363
2024-05,15,29821,2363
2024-05,16,29821,2329
2024-05,17,29821,2108
2024-05,18,29821,2294
2024-05,19,29821,2123
2024-06,0,28622,28622
2024-06,1,28622,11228
2024-06,2,28622,9323
2024-06,3,28622,8221
2024-06,4,28622,5175
2024-06,5,28622,4337
2024-06,6,28622,4305
2024-06,7,28622,3479
2024-06,8,28622,3207
2024-06,9,28622,2624
2024-06,10,28622,2622
2024-06,11,28622,2543
2024-06,12,28622,2418
2024-06,13,28622,2279
2024-06,14,28622,2233
2024-06,15,28622,2361
2024-06,16,28622,2145
2024-06,17,28622,2231
2024-06,18,28622,2212
2024-07,0,30634,30634
2024-07,1,30634,12765
2024-07,2,30634,9531
2024-07,3,30634,7976
2024-07,4,30634,5644
2024-07,5,30634,4944
2024-07,6,30634,4471
2024-07,7,30634,3782
2024-07,8,30634,3462
2024-07,9,30634,3061
2024-07,10,30634,2668
2024-07,11,30634,2668
2024-07,12,30634,2495
2024-07,13,30634,2420
2024-07,14,30634,2360
2024-07,15,30634,2248
2024-07,16,30634,2568
2024-07,17,30634,2293
2024-08,0,30355,29301
2024-08,1,30355,12496
2024-08,2,30355,9678
2024-08,3,30355,8139
2024-08,4,30355,6164
2024-08,5,30355,5002
2024-08,6,30355,4667
2024-08,7,30355,3669
2024-08,8,30355,3319
2024-08,9,30355,2915
2024-08,10,30355,2582
2024-08,11,30355,2538
2024-08,12,30355,2444
2024-08,13,30355,2390
2024-08,14,30355,2500
2024-08,15,30355,2348
2024-08,16,30355,2204
2024-09,0,28622,27457
2024-09,1,28622,11814
2024-09,2,28622,9036
2024-09,3,28622,7589
2024-09,4,28622,5331
2024-09,5,28622,4428
2024-09,6,28622,4470
2024-09,7,28622,3328
2024-09,8,28622,3216
2024-09,9,28622,2608
2024-09,10,28622,2626
2024-09,11,28622,2413
2024-09,12,28622,2201
