week_start,campaign_id,country_code,device,impressions,clicks,spend_aed,sessions,engaged_sessions,new_users,add_to_cart,begin_checkout,purchases,revenue_aed
2024-01-01,1,AE,Desktop,4650,985,1102.8,959,904,600,376,199,131,15712.73
2024-01-01,1,AE,Mobile,17610,2962,3301.3,2900,2220,1773,728,374,257,31592.07
2024-01-01,1,AE,Tablet,1208,216,247.4,212,173,132,66,34,22,2678.07
2024-01-01,1,BH,Desktop,830,164,146.88,160,148,97,58,31,21,2089.76
2024-01-01,1,BH,Mobile,3151,527,464.64,519,402,325,120,62,41,4017.09
2024-01-01,1,BH,Tablet,205,37,31.64,36,29,22,11,5,4,378.13
2024-01-01,1,OM,Desktop,1139,229,170.78,224,205,137,76,39,27,2468.19
2024-01-01,1,OM,Mobile,4002,674,544.83,659,494,411,145,78,54,5062.05
2024-01-01,1,OM,Tablet,269,48,37.93,47,39,30,12,6,4,433.11
2024-01-01,1,QA,Desktop,1178,233,304.64,228,209,142,94,47,31,4156.29
2024-01-01,1,QA,Mobile,4650,780,934.01,769,595,476,205,108,75,10148.69
2024-01-01,1,QA,Tablet,284,52,62.6,51,43,31,16,9,6,799.93
2024-01-01,1,SA,Desktop,3774,748,736.19,727,663,451,267,137,96,9939.35
2024-01-01,1,SA,Mobile,14488,2460,2352.75,2410,1814,1519,578,303,208,21856.51
2024-01-01,1,SA,Tablet,930,166,155.82,162,133,99,46,24,16,1622.65
2024-01-01,2,AE,Desktop,17899,878,2277.12,859,673,475,195,103,58,7510.45
2024-01-01,2,AE,Mobile,66563,2807,7103.48,2757,1826,1496,418,226,123,15057.66
2024-01-01,2,AE,Tablet,4376,192,500.04,189,130,105,33,17,10,1148.47
2024-01-01,2,BH,Desktop,2825,140,302.31,136,107,75,28,15,8,849.47
2024-01-01,2,BH,Mobile,11059,478,995.47,467,303,257,60,32,17,1706.24
2024-01-01,2,BH,Tablet,694,33,69.43,32,22,18,5,3,1,149.07
2024-01-01,2,OM,Desktop,3718,196,365.58,190,151,105,36,19,11,1059.45
2024-01-01,2,OM,Mobile,14394,613,1144.07,595,395,322,75,40,22,2085.89
2024-01-01,2,OM,Tablet,938,41,77.01,40,28,21,6,3,2,169.17
2024-01-01,2,QA,Desktop,4301,218,631.27,212,167,115,50,26,15,2055.19
2024-01-01,2,QA,Mobile,15535,677,2012.54,663,440,362,100,52,29,3818.76
2024-01-01,2,QA,Tablet,1060,48,136.11,46,33,26,8,4,2,337.69
2024-01-01,2,SA,Desktop,12680,651,1447.24,637,508,349,137,74,42,4518.15
2024-01-01,2,SA,Mobile,46852,2068,4616.51,2022,1340,1130,272,147,84,8901.59
2024-01-01,2,SA,Tablet,3309,148,331.21,144,100,78,24,13,7,784.0
2024-01-01,3,AE,Desktop,79838,1917,3113.76,1879,1433,1317,470,244,143,16987.48
2024-01-01,3,AE,Mobile,281723,5616,9497.31,5481,3554,3846,887,459,274,33514.81
2024-01-01,3,AE,Tablet,17800,381,656.8,372,251,256,75,38,22,2589.12
2024-01-01,3,BH,Desktop,12653,292,411.48,286,222,196,65,34,20,1964.46
2024-01-01,3,BH,Mobile,48451,957,1262.61,938,611,652,128,67,39,3945.55
2024-01-01,3,BH,Tablet,3012,66,90.95,64,44,45,11,6,3,341.91
2024-01-01,3,OM,Desktop,17645,409,495.63,400,299,281,87,45,26,2488.41
2024-01-01,3,OM,Mobile,56353,1156,1460.82,1123,713,771,150,79,46,4447.53
2024-01-01,3,OM,Tablet,4167,86,103.77,85,59,60,14,7,4,398.49
2024-01-01,3,QA,Desktop,18268,425,792.04,417,310,290,107,55,31,4223.45
2024-01-01,3,QA,Mobile,63387,1228,2401.43,1197,768,836,198,103,61,8265.53
2024-01-01,3,QA,Tablet,4867,99,180.57,97,66,69,19,10,6,815.11
2024-01-01,3,SA,Desktop,55001,1293,1996.71,1265,948,882,288,154,86,9111.4
2024-01-01,3,SA,Mobile,215240,4332,6666.37,4273,2758,2978,640,335,199,21271.01
2024-01-01,3,SA,Tablet,14165,289,433.21,283,193,200,49,26,15,1546.92
2024-01-01,4,AE,Desktop,529018,4767,1971.21,4625,2032,4180,300,156,72,7926.81
2024-01-01,4,AE,Mobile,1666148,12786,5607.92,12436,4815,11181,516,265,122,13558.31
2024-01-01,4,AE,Tablet,125174,1002,403.69,981,388,874,50,27,12,1377.12
2024-01-01,4,BH,Desktop,88007,787,268.72,774,346,720,47,25,11,1120.53
2024-01-01,4,BH,Mobile,321205,2322,773.96,2269,847,2056,82,42,19,1863.69
2024-01-01,4,BH,Tablet,20286,163,54.6,160,64,145,7,4,2,172.84
2024-01-01,4,OM,Desktop,106064,935,287.6,916,412,823,51,27,13,1127.77
2024-01-01,4,OM,Mobile,406571,3065,936.76,3012,1126,2756,108,58,27,2453.57
2024-01-01,4,OM,Tablet,25635,206,63.47,202,80,182,9,5,2,196.22
2024-01-01,4,QA,Desktop,114659,1051,491.97,1032,469,929,71,37,17,2299.4
2024-01-01,4,QA,Mobile,459981,3347,1577.96,3264,1224,2993,146,75,35,4406.69
2024-01-01,4,QA,Tablet,32271,251,114.04,245,99,217,14,7,3,419.39
2024-01-01,4,SA,Desktop,403406,3692,1339.94,3618,1645,3253,221,113,52,5189.73
2024-01-01,4,SA,Mobile,1475906,11116,4163.77,10818,4049,9673,412,220,102,9851.32
2024-01-01,4,SA,Tablet,97659,772,284.32,754,306,674,37,19,9,889.13
2024-01-01,5,AE,Desktop,151419,1886,2584.85,1829,1205,1434,206,103,52,6211.32
2024-01-01,5,AE,Mobile,625561,6186,8211.78,6095,3365,4840,441,231,116,13701.97
2024-01-01,5,AE,Tablet,37388,415,571.98,403,234,319,38,20,10,1074.28
2024-01-01,5,BH,Desktop,26519,318,346.69,312,206,251,34,18,9,900.18
2024-01-01,5,BH,Mobile,102822,1080,1129.28,1055,577,837,73,38,19,1993.87
2024-01-01,5,BH,Tablet,6702,74,79.67,71,41,57,6,3,2,168.4
2024-01-01,5,OM,Desktop,30808,389,392.67,380,248,307,40,21,10,969.07
2024-01-01,5,OM,Mobile,126409,1305,1287.32,1278,703,1028,85,45,22,2056.45
2024-01-01,5,OM,Tablet,8342,93,87.78,91,54,74,7,4,2,161.7
2024-01-01,5,QA,Desktop,36645,461,722.33,451,291,357,56,29,15,1824.56
2024-01-01,5,QA,Mobile,138725,1427,2136.96,1398,751,1128,114,57,29,3858.88
2024-01-01,5,QA,Tablet,8910,98,147.04,95,55,76,9,4,2,284.37
2024-01-01,5,SA,Desktop,115032,1420,1664.15,1398,912,1114,155,83,41,4370.57
2024-01-01,5,SA,Mobile,427201,4560,5533.54,4465,2358,3514,322,164,81,8260.81
2024-01-01,5,SA,Tablet,29612,313,377.97,303,175,248,26,13,7,679.36
2024-01-01,6,AE,Desktop,46067,1229,1203.3,1200,1008,263,419,211,139,16906.87
2024-01-01,6,AE,Mobile,173244,3816,3755.96,3740,2625,836,807,409,266,34707.17
2024-01-01,6,AE,Tablet,12143,291,271.72,286,216,62,77,39,25,2962.72
2024-01-01,6,BH,Desktop,8441,219,167.11,214,175,47,66,34,23,2426.58
2024-01-01,6,BH,Mobile,29416,667,519.38,649,457,147,133,70,47,5206.6
2024-01-01,6,BH,Tablet,1912,47,35.63,45,34,10,11,6,4,371.77
2024-01-01,6,OM,Desktop,10301,274,185.13,267,224,59,78,40,27,2623.01
2024-01-01,6,OM,Mobile,38622,872,590.38,851,592,186,161,85,57,5604.76
2024-01-01,6,OM,Tablet,2659,62,43.26,61,46,13,14,8,5,482.3
2024-01-01,6,QA,Desktop,11201,317,330.25,309,262,68,113,59,39,5627.58
2024-01-01,6,QA,Mobile,44084,981,1047.67,958,668,208,225,119,81,11585.01
2024-01-01,6,QA,Tablet,2686,64,70.31,63,46,14,18,9,6,875.78
2024-01-01,6,SA,Desktop,39716,1070,868.37,1053,864,229,331,170,117,13574.59
2024-01-01,6,SA,Mobile,138971,3120,2666.59,3058,2202,670,622,323,210,23540.53
2024-01-01,6,SA,Tablet,8835,219,184.46,211,157,48,54,29,19,2175.73
2024-01-01,7,AE,Desktop,79663,1282,1537.91,1249,881,920,240,130,75,8080.86
2024-01-01,7,AE,Mobile,302045,3937,4793.65,3852,2243,2856,466,238,140,14930.97
2024-01-01,7,AE,Tablet,19112,263,327.01,256,157,190,38,19,11,1161.83
2024-01-01,7,BH,Desktop,12551,199,195.78,194,134,143,33,17,10,881.3
