campaign,platform,channel_group,impressions,clicks,spend_aed,sessions,engaged_sessions,new_users,add_to_cart,begin_checkout,purchases,revenue_aed,ROAS,CPA_aed,CPC_aed,CTR_pct,CVR_pct,engagement_pct,AOV_aed,revenue_per_session
Direct,Owned,Direct,0,0,0.0,2962817,2042029,830713,637882,332952,230180,29862761.86,,0.0,,,7.769,68.922,129.737,10.079
Email & CRM,Owned,Email / CRM,0,0,0.0,2313296,1776836,416694,555269,288899,202668,27227583.92,,0.0,,,8.761,76.81,134.346,11.77
Organic Search,Owned,Organic Search,0,0,0.0,4863330,3449475,2823421,668388,347932,215894,26426554.86,,0.0,,,4.439,70.928,122.405,5.434
Meta - Retargeting,Meta Ads,Paid Social,69090668,1618173,1491812.23,1607422,1171251,353887,407953,212267,140409,17799906.25,11.932,10.625,0.922,2.342,8.735,72.865,126.772,11.074
Performance Max - Retail,Google Ads,Performance Max,106604645,2188391,3606612.15,2170902,1453122,1520418,401975,209418,121660,14819422.37,4.109,29.645,1.648,2.053,5.604,66.936,121.81,6.826
Search - Brand,Google Ads,Paid Search,6457239,1135652,1204399.38,1123364,906437,696289,325654,169625,115420,13695554.78,11.371,10.435,1.061,17.587,10.274,80.69,118.658,12.192
Meta - Seasonal Promo,Meta Ads,Paid Social,130744760,1788771,2096013.41,1787156,1091895,1321938,247063,128688,73501,8174288.26,3.9,28.517,1.172,1.368,4.113,61.097,111.213,4.574
YouTube - Awareness,Google Ads,Paid Video,676031824,5301801,2153888.7,5252885,2069397,4734718,255098,132811,61181,6995370.63,3.248,35.205,0.406,0.784,1.165,39.395,114.339,1.332
Meta - Prospecting,Meta Ads,Paid Social,230467290,2355968,3082048.23,2333885,1325174,1858046,203345,105801,52972,6314301.31,2.049,58.183,1.308,1.022,2.27,56.78,119.201,2.705
Search - Generic,Google Ads,Paid Search,23805999,1047204,2629288.28,1036689,715236,570458,170738,88985,49887,6168359.58,2.346,52.705,2.511,4.399,4.812,68.992,123.647,5.95
TikTok - Spark Ads,TikTok Ads,Paid Social,305662157,2689749,2083712.77,2668450,1261800,2349084,181758,94521,45415,4879178.64,2.342,45.882,0.775,0.88,1.702,47.286,107.435,1.828
Referral & Partners,Owned,Referral,0,0,0.0,640949,429091,352981,75190,39150,21976,2633065.53,,0.0,,,3.429,66.946,119.816,4.108
TikTok - Traffic,TikTok Ads,Paid Social,312106206,2136693,1260520.63,2117828,918040,1904803,102810,53511,24094,2526451.31,2.004,52.317,0.59,0.685,1.138,43.348,104.858,1.193
LinkedIn - Corporate Bookings,LinkedIn Ads,Paid Social,19516467,114455,860327.19,113059,73471,79200,10859,5580,3437,748509.79,0.87,250.313,7.517,0.586,3.04,64.985,217.78,6.621
