cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-01,95.5,40.9,34.4,27.0,20.6,16.2,15.5,11.7,10.2,9.5,8.9,8.0,8.1,7.9,8.0,7.7,7.8,7.5,7.7,7.5,8.0,7.7,7.0,7.2
2024-02,100.0,38.0,32.3,28.9,19.0,16.9,15.7,11.7,10.2,10.4,9.3,9.0,8.5,7.4,8.2,8.0,8.1,7.5,7.2,7.5,7.9,8.0,7.8,
2024-03,100.0,40.6,32.3,29.8,20.1,17.3,15.8,11.6,10.9,9.5,8.2,8.8,8.8,8.3,7.9,7.7,8.3,7.9,7.4,7.6,7.3,7.7,,
2024-04,100.0,38.8,30.9,27.6,17.6,16.7,16.6,13.0,10.2,9.8,10.0,8.3,8.1,8.4,8.3,7.5,7.0,7.6,7.6,7.6,7.8,,,
2024-05,100.0,38.4,29.4,27.8,21.1,17.0,16.8,12.0,10.4,9.2,8.7,8.5,8.2,8.1,7.9,7.9,7.8,7.1,7.7,7.1,,,,
2024-06,100.0,39.2,32.6,28.7,18.1,15.2,15.0,12.2,11.2,9.2,9.2,8.9,8.4,8.0,7.8,8.2,7.5,7.8,7.7,,,,,
2024-07,100.0,41.7,31.1,26.0,18.4,16.1,14.6,12.3,11.3,10.0,8.7,8.7,8.1,7.9,7.7,7.3,8.4,7.5,,,,,,
2024-08,96.5,41.2,31.9,26.8,20.3,16.5,15.4,12.1,10.9,9.6,8.5,8.4,8.1,7.9,8.2,7.7,7.3,,,,,,,
2024-09,95.9,41.3,31.6,26.5,18.6,15.5,15.6,11.6,11.2,9.1,9.2,8.4,7.7,8.1,8.0,8.3,,,,,,,,
2024-10,98.4,42.0,30.6,29.2,19.6,15.9,14.5,12.4,11.0,10.3,8.9,9.2,8.6,8.1,7.9,,,,,,,,,
2024-11,96.4,34.9,26.4,23.3,16.5,15.1,13.0,10.2,9.6,7.9,8.1,7.8,7.6,7.2,,,,,,,,,,
2024-12,98.0,36.6,26.7,24.2,16.6,14.3,13.2,10.0,8.9,8.2,8.2,7.8,6.5,,,,,,,,,,,
2025-01,98.9,40.6,31.5,29.0,20.6,16.5,15.6,11.1,11.1,9.8,9.3,8.9,,,,,,,,,,,,
2025-02,90.8,41.2,31.2,28.5,19.2,16.1,16.4,11.8,10.4,9.6,8.9,,,,,,,,,,,,,
2025-03,99.5,40.5,31.8,27.9,19.5,14.9,15.6,12.1,10.7,9.9,,,,,,,,,,,,,,
2025-04,100.0,41.3,28.9,27.8,20.1,16.8,15.8,12.2,11.2,,,,,,,,,,,,,,,
2025-05,93.7,42.1,33.8,27.8,19.5,16.3,16.2,12.1,,,,,,,,,,,,,,,,
2025-06,94.3,40.6,32.1,27.1,19.5,17.0,15.3,,,,,,,,,,,,,,,,,
2025-07,98.9,43.8,32.2,27.2,19.1,16.0,,,,,,,,,,,,,,,,,,
2025-08,99.4,41.3,33.0,26.5,19.4,,,,,,,,,,,,,,,,,,,
2025-09,100.0,41.3,30.8,28.0,,,,,,,,,,,,,,,,,,,,
2025-10,100.0,42.0,32.8,,,,,,,,,,,,,,,,,,,,,
2025-11,100.0,36.6,,,,,,,,,,,,,,,,,,,,,,
2025-12,99.6,,,,,,,,,,,,,,,,,,,,,,,
