event,days,sessions,sessions_base,revenue,revenue_base,sessions_uplift_pct,revenue_uplift_pct
White Friday 2025,10,71300.0,40341.0,575571.0,193499.0,77.0,198.0
White Friday 2024,10,67381.0,40341.0,529243.0,193499.0,67.0,174.0
Eid Al Fitr 2025,5,62170.0,36380.0,446456.0,174173.0,71.0,156.0
Eid Al Fitr 2024,5,67406.0,41243.0,476576.0,197692.0,63.0,141.0
Dubai Shopping Festival 25/26,28,56636.0,39097.0,397609.0,187443.0,45.0,112.0
Dubai Shopping Festival 24/25,39,56498.0,39466.0,392019.0,189224.0,43.0,107.0
Ramadan 2025,29,47601.0,39338.0,252988.0,188631.0,21.0,34.0
Summer Promo 2025,46,41027.0,39093.0,243099.0,187420.0,5.0,30.0
Ramadan 2024,30,45427.0,38739.0,240101.0,185735.0,17.0,29.0
Summer Promo 2024,46,36706.0,38826.0,219464.0,186127.0,-6.0,18.0
