month,impressions,clicks,spend_aed,sessions,engaged_sessions,new_users,add_to_cart,begin_checkout,purchases,revenue_aed,ROAS,CPA_aed,CPC_aed,CTR_pct,CVR_pct,engagement_pct,AOV_aed,revenue_per_session
2024-01,83673192,902250,853713.26,1322698,789959,857891,170050,88576,54263,6296502.38,7.375,15.733,0.946,1.078,4.102,59.723,116.037,4.76
2024-02,68207369,736662,697349.92,1076748,644126,699390,137969,71911,44073,5118719.01,7.34,15.823,0.947,1.08,4.093,59.821,116.142,4.754
2024-03,75832024,822446,839137.77,1230939,738591,788963,150513,78420,48097,6368270.87,7.589,17.447,1.02,1.085,3.907,60.002,132.405,5.174
2024-04,91397942,988692,982373.96,1541454,927896,984887,211055,109775,67544,8286087.52,8.435,14.544,0.994,1.082,4.382,60.196,122.677,5.376
2024-05,65371316,705671,672748.49,1051204,631394,677246,135539,70603,43217,5029470.41,7.476,15.567,0.953,1.079,4.111,60.064,116.377,4.784
2024-06,63429666,685960,652893.32,1032865,621647,663759,134072,69843,42856,4984812.7,7.635,15.235,0.952,1.081,4.149,60.187,116.315,4.826
2024-07,85295038,929101,975887.85,1294697,776974,832424,176555,91846,56405,7735766.32,7.927,17.301,1.05,1.089,4.357,60.012,137.147,5.975
2024-08,64185627,694931,693624.17,1025481,617988,656272,135933,70804,43448,5421498.07,7.816,15.964,0.998,1.083,4.237,60.263,124.781,5.287
2024-09,80114290,870907,842853.53,1314324,784196,833965,169223,88382,54331,6316501.13,7.494,15.513,0.968,1.087,4.134,59.665,116.26,4.806
2024-10,64933734,705129,679042.5,1063555,639970,682372,137943,71693,44026,5109527.13,7.525,15.424,0.963,1.086,4.14,60.173,116.057,4.804
2024-11,75554853,823727,827610.99,1360043,823578,856932,220496,114916,71155,8581611.0,10.369,11.631,1.005,1.09,5.232,60.555,120.604,6.31
2024-12,104815850,1146574,1209392.87,1900817,1153488,1193885,296425,154210,95312,13039199.4,10.782,12.689,1.055,1.094,5.014,60.684,136.805,6.86
2025-01,77256015,840161,841084.92,1267599,762345,815544,174297,90651,55582,6854090.27,8.149,15.132,1.001,1.088,4.385,60.141,123.315,5.407
2025-02,71568174,780956,763372.09,1206989,730491,776841,154760,80518,49302,5802569.96,7.601,15.484,0.977,1.091,4.085,60.522,117.694,4.807
2025-03,98305470,1075146,1141729.13,1719523,1043412,1085208,227720,118431,73102,9639001.61,8.442,15.618,1.062,1.094,4.251,60.68,131.857,5.606
2025-04,66821504,724141,704508.47,1096314,660294,702997,142369,74176,45482,5267691.33,7.477,15.49,0.973,1.084,4.149,60.229,115.819,4.805
2025-05,66096612,717398,699722.43,1092214,659515,698365,142506,74085,45482,5290705.91,7.561,15.385,0.975,1.085,4.164,60.383,116.325,4.844
2025-06,86365191,933642,927670.22,1321271,796303,850086,173105,90164,55375,6679321.68,7.2,16.753,0.994,1.081,4.191,60.268,120.62,5.055
2025-07,76899839,837781,904879.84,1146988,688314,741736,156090,81428,49745,6791865.89,7.506,18.19,1.08,1.089,4.337,60.011,136.534,5.921
2025-08,75063793,809621,833190.23,1159523,696485,750469,153188,79650,48906,6113766.68,7.338,17.037,1.029,1.079,4.218,60.067,125.011,5.273
2025-09,91285123,985673,970601.32,1464209,882023,945658,189316,98628,60404,7000285.01,7.212,16.068,0.985,1.08,4.125,60.239,115.891,4.781
2025-10,72848615,779777,769587.08,1165236,701734,751347,150894,78620,48170,5616729.45,7.298,15.976,0.987,1.07,4.134,60.222,116.602,4.82
2025-11,80985878,869993,892835.06,1445300,879266,910086,238613,124333,76822,9276266.38,10.39,11.622,1.026,1.074,5.315,60.836,120.75,6.418
2025-12,94180140,1010518,1092813.55,1692041,1033265,1056327,265351,138477,85595,11651048.98,10.662,12.767,1.081,1.073,5.059,61.066,136.118,6.886
