campaign,platform,impressions,clicks,spend_aed,sessions,engaged_sessions,new_users,add_to_cart,begin_checkout,purchases,revenue_aed,ROAS,CPA_aed,CPC_aed,CTR_pct,CVR_pct,engagement_pct,AOV_aed,revenue_per_session
Meta - Retargeting,Meta Ads,69090668,1618173,1491812.23,1607422,1171251,353887,407953,212267,140409,17799906.25,11.932,10.625,0.922,2.342,8.735,72.865,126.772,11.074
Search - Brand,Google Ads,6457239,1135652,1204399.38,1123364,906437,696289,325654,169625,115420,13695554.78,11.371,10.435,1.061,17.587,10.274,80.69,118.658,12.192
Performance Max - Retail,Google Ads,106604645,2188391,3606612.15,2170902,1453122,1520418,401975,209418,121660,14819422.37,4.109,29.645,1.648,2.053,5.604,66.936,121.81,6.826
Meta - Seasonal Promo,Meta Ads,130744760,1788771,2096013.41,1787156,1091895,1321938,247063,128688,73501,8174288.26,3.9,28.517,1.172,1.368,4.113,61.097,111.213,4.574
YouTube - Awareness,Google Ads,676031824,5301801,2153888.7,5252885,2069397,4734718,255098,132811,61181,6995370.63,3.248,35.205,0.406,0.784,1.165,39.395,114.339,1.332
Search - Generic,Google Ads,23805999,1047204,2629288.28,1036689,715236,570458,170738,88985,49887,6168359.58,2.346,52.705,2.511,4.399,4.812,68.992,123.647,5.95
TikTok - Spark Ads,TikTok Ads,305662157,2689749,2083712.77,2668450,1261800,2349084,181758,94521,45415,4879178.64,2.342,45.882,0.775,0.88,1.702,47.286,107.435,1.828
Meta - Prospecting,Meta Ads,230467290,2355968,3082048.23,2333885,1325174,1858046,203345,105801,52972,6314301.31,2.049,58.183,1.308,1.022,2.27,56.78,119.201,2.705
TikTok - Traffic,TikTok Ads,312106206,2136693,1260520.63,2117828,918040,1904803,102810,53511,24094,2526451.31,2.004,52.317,0.59,0.685,1.138,43.348,104.858,1.193
LinkedIn - Corporate Bookings,LinkedIn Ads,19516467,114455,860327.19,113059,73471,79200,10859,5580,3437,748509.79,0.87,250.313,7.517,0.586,3.04,64.985,217.78,6.621
